Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=29, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=30, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=31, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=32, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=33, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=34, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=35, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=36, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=37, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=38, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=39, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=40, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=41, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=42, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=43, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=44, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=45, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=46, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=47, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=48, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=49, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=50, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=51, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=52, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=53, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=54, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=55, tm_wday=5, tm_yday=193, tm_isdst=1) 
Local current time : time.struct_time(tm_year=2014, tm_mon=7, tm_mday=12, tm_hour=16, tm_min=52, tm_sec=56, tm_wday=5, tm_yday=193, tm_isdst=1) 
